account_id,customer_id,product_id,account_status,opened_at,current_balance,currency
ACCT0000046,CUST000023,PRD002,active,2025-08-02,-2498.05,CAD
ACCT0000047,CUST000024,PRD007,active,2023-06-30,742.02,CAD
ACCT0000048,CUST000025,PRD007,active,2026-03-09,19714.03,CAD
ACCT0000049,CUST000026,PRD003,active,2025-09-27,10795.23,CAD
ACCT0000050,CUST000026,PRD006,active,2026-02-21,15538.0,CAD
ACCT0000051,CUST000027,PRD004,active,2024-07-09,10551.05,CAD
ACCT0000052,CUST000027,PRD003,active,2026-02-17,1686.47,CAD
ACCT0000053,CUST000028,PRD005,active,2024-08-21,1961.53,CAD
ACCT0000054,CUST000028,PRD007,active,2022-02-19,14145.95,CAD
ACCT0000055,CUST000028,PRD004,active,2025-03-19,19387.49,CAD
ACCT0000056,CUST000029,PRD005,active,2023-05-28,18141.0,CAD
ACCT0000057,CUST000030,PRD006,active,2024-11-10,3990.22,CAD
ACCT0000058,CUST000030,PRD007,active,2024-11-08,2634.85,CAD
ACCT0000059,CUST000031,PRD003,active,2023-07-05,10640.79,CAD
ACCT0000060,CUST000031,PRD001,active,2023-05-07,18694.31,CAD
ACCT0000061,CUST000031,PRD002,active,2024-08-08,510.32,CAD
ACCT0000062,CUST000031,PRD007,active,2022-06-10,4179.26,CAD
ACCT0000063,CUST000032,PRD005,active,2025-12-28,7329.19,CAD
ACCT0000064,CUST000032,PRD004,active,2024-06-28,8452.58,CAD
ACCT0000065,CUST000033,PRD006,dormant,2023-10-01,16656.57,CAD
ACCT0000066,CUST000034,PRD003,active,2026-02-01,23453.0,CAD
ACCT0000067,CUST000035,PRD004,dormant,2023-01-18,5599.87,CAD
ACCT0000068,CUST000035,PRD003,active,2022-11-10,19044.16,CAD
ACCT0000069,CUST000036,PRD006,active,2024-05-24,11020.45,CAD
ACCT0000070,CUST000036,PRD003,active,2021-10-21,1564.0,CAD
ACCT0000071,CUST000037,PRD002,active,2023-05-26,11017.45,CAD
ACCT0000072,CUST000037,PRD007,active,2022-02-25,25725.46,CAD
ACCT0000073,CUST000037,PRD004,active,2023-03-17,6052.17,CAD
ACCT0000074,CUST000038,PRD003,active,2022-06-22,26058.05,CAD
ACCT0000075,CUST000038,PRD005,active,2023-11-01,26246.81,CAD
ACCT0000076,CUST000038,PRD001,active,2022-10-11,16773.78,CAD
ACCT0000077,CUST000039,PRD007,active,2025-02-18,7588.09,CAD
ACCT0000078,CUST000039,PRD005,active,2022-12-06,2762.41,CAD
ACCT0000079,CUST000040,PRD005,dormant,2022-06-20,7647.01,CAD
ACCT0000080,CUST000040,PRD007,active,2024-07-15,18344.61,CAD
ACCT0000081,CUST000041,PRD005,active,2023-08-28,3754.1,CAD
ACCT0000082,CUST000041,PRD003,active,2023-09-22,10963.91,CAD
ACCT0000083,CUST000041,PRD001,active,2023-09-15,24973.68,CAD
ACCT0000084,CUST000042,PRD001,active,2024-06-08,21.62,CAD
ACCT0000085,CUST000043,PRD003,active,2024-02-12,3606.17,CAD
ACCT0000086,CUST000044,PRD001,active,2023-04-10,228.04,CAD
ACCT0000087,CUST000044,PRD006,active,2021-12-12,17942.53,CAD
ACCT0000088,CUST000044,PRD005,active,2023-10-21,10609.39,CAD
ACCT0000089,CUST000045,PRD002,active,2025-01-08,-122.0,CAD
ACCT0000090,CUST000045,PRD007,active,2023-09-08,12915.84,CAD
ACCT0000091,CUST000046,PRD003,active,2022-07-01,7713.47,CAD
ACCT0000092,CUST000047,PRD007,active,2023-03-18,18608.06,CAD
ACCT0000093,CUST000047,PRD006,active,2023-05-03,2275.66,CAD
ACCT0000094,CUST000047,PRD004,active,2025-06-02,2404.22,CAD
ACCT0000095,CUST000048,PRD002,active,2022-05-26,1598.65,CAD
ACCT0000096,CUST000049,PRD003,active,2023-01-18,11793.94,CAD
ACCT0000097,CUST000049,PRD007,active,2023-04-12,10201.5,CAD
ACCT0000098,CUST000050,PRD001,active,2024-02-11,9763.19,CAD
ACCT0000099,CUST000050,PRD003,active,2025-10-12,6563.92,CAD
ACCT0000100,CUST000051,PRD002,active,2024-04-06,3567.66,CAD
ACCT0000101,CUST000051,PRD006,active,2022-10-10,11192.13,CAD
ACCT0000102,CUST000052,PRD002,dormant,2025-08-11,1241.93,CAD
ACCT0000103,CUST000053,PRD006,active,2021-11-06,2216.07,CAD
ACCT0000104,CUST000053,PRD005,active,2025-07-26,3528.47,CAD
ACCT0000105,CUST000053,PRD007,active,2023-11-07,4483.93,CAD
ACCT0000106,CUST000054,PRD005,active,2023-11-19,11550.64,CAD
ACCT0000107,CUST000054,PRD003,dormant,2022-07-27,30077.32,CAD
ACCT0000108,CUST000055,PRD007,active,2022-07-31,8682.22,CAD
ACCT0000109,CUST000056,PRD007,closed,2022-05-13,9719.38,CAD
ACCT0000110,CUST000056,PRD005,closed,2024-06-16,5569.43,CAD
ACCT0000111,CUST000056,PRD002,active,2023-02-14,-17484.64,CAD
ACCT0000112,CUST000056,PRD001,active,2023-07-12,6168.58,CAD
ACCT0000113,CUST000057,PRD003,active,2026-01-15,7252.88,CAD
ACCT0000114,CUST000058,PRD005,active,2026-05-21,37290.53,CAD
ACCT0000115,CUST000058,PRD004,closed,2021-10-15,4095.49,CAD
ACCT0000116,CUST000059,PRD003,active,2021-07-15,10269.34,CAD
ACCT0000117,CUST000060,PRD004,active,2024-03-06,6066.1,CAD
ACCT0000118,CUST000060,PRD007,active,2022-05-26,8108.48,CAD
ACCT0000119,CUST000061,PRD001,active,2025-03-16,20785.29,CAD
ACCT0000120,CUST000061,PRD002,active,2023-09-23,15899.16,CAD
ACCT0000121,CUST000062,PRD004,active,2024-05-15,16387.9,CAD
ACCT0000122,CUST000062,PRD007,active,2025-07-11,4867.34,CAD
ACCT0000123,CUST000063,PRD003,active,2025-08-20,24034.93,CAD
ACCT0000124,CUST000063,PRD001,active,2022-10-03,-11023.14,CAD
ACCT0000125,CUST000063,PRD004,dormant,2022-05-06,13835.71,CAD
ACCT0000126,CUST000064,PRD005,active,2025-11-30,33880.7,CAD
ACCT0000127,CUST000064,PRD006,active,2021-11-14,5881.7,CAD
ACCT0000128,CUST000065,PRD006,active,2022-06-28,578.72,CAD
ACCT0000129,CUST000065,PRD002,active,2024-01-02,7745.64,CAD
ACCT0000130,CUST000066,PRD003,active,2023-04-18,206.55,CAD
ACCT0000131,CUST000066,PRD001,active,2024-03-26,-12883.29,CAD
ACCT0000132,CUST000067,PRD003,active,2026-05-07,7357.04,CAD
ACCT0000133,CUST000068,PRD001,active,2022-05-25,-6778.8,CAD
ACCT0000134,CUST000068,PRD006,dormant,2024-02-01,12419.91,CAD
ACCT0000135,CUST000068,PRD005,active,2023-02-27,4992.8,CAD
ACCT0000136,CUST000069,PRD006,active,2023-09-06,25874.18,CAD
ACCT0000137,CUST000069,PRD005,active,2025-10-03,3290.67,CAD
ACCT0000138,CUST000069,PRD004,active,2022-07-08,2474.23,CAD
ACCT0000139,CUST000069,PRD003,active,2022-04-18,16668.97,CAD
ACCT0000140,CUST000070,PRD002,active,2022-01-08,-8885.8,CAD
ACCT0000141,CUST000070,PRD005,active,2023-06-29,9343.25,CAD
ACCT0000142,CUST000070,PRD001,active,2022-12-20,22839.28,CAD
ACCT0000143,CUST000070,PRD004,active,2023-09-28,13593.54,CAD
ACCT0000144,CUST000071,PRD001,active,2025-12-14,8807.92,CAD
ACCT0000145,CUST000071,PRD007,active,2023-05-14,9748.53,CAD
ACCT0000146,CUST000072,PRD004,active,2024-06-18,16272.79,CAD
ACCT0000147,CUST000073,PRD004,dormant,2023-07-08,8961.88,CAD
ACCT0000148,CUST000074,PRD004,active,2024-01-11,10005.71,CAD
ACCT0000149,CUST000074,PRD005,active,2021-11-30,13024.27,CAD
ACCT0000150,CUST000075,PRD006,active,2023-01-15,10212.31,CAD
ACCT0000151,CUST000076,PRD007,active,2024-12-05,9631.16,CAD
ACCT0000152,CUST000076,PRD003,active,2023-09-26,10830.6,CAD
ACCT0000153,CUST000077,PRD001,active,2024-10-02,-2000.31,CAD
ACCT0000154,CUST000077,PRD004,active,2022-11-21,9403.17,CAD
ACCT0000155,CUST000078,PRD005,active,2023-07-22,10163.41,CAD
ACCT0000156,CUST000078,PRD001,active,2021-12-29,-2429.39,CAD
ACCT0000157,CUST000079,PRD005,active,2024-11-05,29822.18,CAD
ACCT0000158,CUST000080,PRD001,active,2023-01-02,12422.91,CAD
ACCT0000159,CUST000081,PRD006,active,2022-09-11,8391.29,CAD
ACCT0000160,CUST000081,PRD005,active,2021-11-10,14706.92,CAD
ACCT0000161,CUST000082,PRD002,active,2023-09-02,-5683.52,CAD
ACCT0000162,CUST000082,PRD006,dormant,2023-06-07,16338.56,CAD
ACCT0000163,CUST000082,PRD003,closed,2024-06-19,20982.44,CAD
ACCT0000164,CUST000083,PRD003,active,2021-10-13,3758.53,CAD
ACCT0000165,CUST000083,PRD002,active,2023-08-11,18542.2,CAD
ACCT0000166,CUST000083,PRD004,active,2024-01-28,11659.76,CAD
ACCT0000167,CUST000083,PRD006,active,2025-01-20,16775.75,CAD
ACCT0000168,CUST000084,PRD007,active,2025-03-17,30209.91,CAD
ACCT0000169,CUST000084,PRD003,active,2021-09-01,3432.65,CAD
ACCT0000170,CUST000085,PRD003,active,2021-10-17,2921.7,CAD
ACCT0000171,CUST000085,PRD007,active,2025-06-13,4618.93,CAD
ACCT0000172,CUST000086,PRD001,closed,2022-03-16,-3697.63,CAD
ACCT0000173,CUST000086,PRD002,active,2023-05-28,5536.23,CAD
ACCT0000174,CUST000087,PRD003,active,2023-09-24,10764.4,CAD
ACCT0000175,CUST000087,PRD006,dormant,2023-06-01,9958.63,CAD
ACCT0000176,CUST000088,PRD003,active,2021-12-02,16839.79,CAD
ACCT0000177,CUST000089,PRD002,closed,2022-07-24,6662.52,CAD
ACCT0000178,CUST000089,PRD004,dormant,2025-11-04,24669.18,CAD
ACCT0000179,CUST000090,PRD006,active,2023-12-20,3191.79,CAD
ACCT0000180,CUST000090,PRD001,active,2022-09-25,40502.11,CAD
ACCT0000181,CUST000091,PRD007,active,2021-11-21,14320.84,CAD
ACCT0000182,CUST000092,PRD004,active,2023-10-21,4214.47,CAD
ACCT0000183,CUST000092,PRD001,active,2022-03-10,-6886.16,CAD
ACCT0000184,CUST000093,PRD006,active,2025-04-18,12530.91,CAD
ACCT0000185,CUST000093,PRD001,active,2022-08-04,3706.72,CAD
ACCT0000186,CUST000094,PRD007,active,2026-05-01,15425.01,CAD
ACCT0000187,CUST000095,PRD004,active,2024-01-31,12415.47,CAD
ACCT0000188,CUST000095,PRD006,active,2025-10-22,5589.64,CAD
ACCT0000189,CUST000095,PRD001,active,2024-06-02,-4084.92,CAD
ACCT0000190,CUST000096,PRD005,active,2026-03-14,12435.59,CAD
ACCT0000191,CUST000097,PRD003,active,2023-01-22,918.56,CAD
ACCT0000192,CUST000098,PRD007,active,2023-01-11,17204.98,CAD
ACCT0000193,CUST000098,PRD002,closed,2022-06-02,9176.17,CAD
ACCT0000194,CUST000098,PRD003,active,2025-11-27,9071.73,CAD
ACCT0000195,CUST000099,PRD001,dormant,2022-02-08,8664.76,CAD
ACCT0000196,CUST000100,PRD006,active,2025-10-07,11316.47,CAD
ACCT0000197,CUST000100,PRD004,active,2024-12-20,4548.22,CAD
ACCT0000198,CUST000101,PRD006,active,2022-10-22,8421.56,CAD
ACCT0000199,CUST000101,PRD003,active,2024-11-02,7227.61,CAD
ACCT0000200,CUST000102,PRD003,active,2022-01-27,7787.13,CAD
ACCT0000201,CUST000102,PRD005,active,2024-12-11,10972.34,CAD
ACCT0000202,CUST000103,PRD004,active,2026-01-15,13509.81,CAD
ACCT0000203,CUST000104,PRD007,closed,2024-12-10,20038.14,CAD
ACCT0000204,CUST000105,PRD002,active,2025-12-31,19672.53,CAD
ACCT0000205,CUST000106,PRD007,active,2024-03-09,10720.87,CAD
ACCT0000206,CUST000106,PRD005,active,2023-08-19,5222.81,CAD
ACCT0000207,CUST000106,PRD003,active,2023-05-11,12937.94,CAD
ACCT0000208,CUST000107,PRD007,dormant,2025-10-17,12922.32,CAD
ACCT0000209,CUST000108,PRD001,active,2026-03-12,12938.1,CAD
ACCT0000210,CUST000108,PRD004,active,2023-03-09,54659.14,CAD
ACCT0000211,CUST000109,PRD006,active,2023-08-07,13636.13,CAD
ACCT0000212,CUST000109,PRD004,active,2022-10-19,20694.57,CAD
ACCT0000213,CUST000109,PRD003,active,2026-03-06,18425.02,CAD
ACCT0000214,CUST000110,PRD005,dormant,2024-07-16,14642.39,CAD
ACCT0000215,CUST000111,PRD002,dormant,2022-06-03,2559.13,CAD
ACCT0000216,CUST000111,PRD001,active,2023-08-22,15987.12,CAD
ACCT0000217,CUST000112,PRD005,active,2022-01-04,3160.32,CAD
ACCT0000218,CUST000112,PRD003,active,2025-12-30,3539.77,CAD
ACCT0000219,CUST000113,PRD003,active,2021-10-20,432.96,CAD
ACCT0000220,CUST000114,PRD004,active,2024-05-17,7523.43,CAD
ACCT0000221,CUST000115,PRD001,closed,2022-11-05,35433.23,CAD
ACCT0000222,CUST000116,PRD004,active,2023-05-24,16840.81,CAD
ACCT0000223,CUST000116,PRD001,active,2024-06-25,15078.25,CAD
ACCT0000224,CUST000117,PRD004,active,2024-10-06,13658.95,CAD
ACCT0000225,CUST000117,PRD006,active,2025-05-26,600.85,CAD
ACCT0000226,CUST000118,PRD007,active,2025-04-26,20111.88,CAD
ACCT0000227,CUST000118,PRD002,dormant,2024-03-15,7303.5,CAD
ACCT0000228,CUST000118,PRD006,active,2022-11-08,6971.81,CAD
ACCT0000229,CUST000118,PRD005,active,2023-08-30,2441.3,CAD
ACCT0000230,CUST000119,PRD002,active,2025-04-29,14994.97,CAD
ACCT0000231,CUST000119,PRD003,active,2025-04-22,2629.58,CAD
ACCT0000232,CUST000120,PRD003,active,2023-08-25,9205.73,CAD
ACCT0000233,CUST000120,PRD002,active,2021-12-11,7069.65,CAD
ACCT0000234,CUST000120,PRD006,active,2024-08-30,1645.0,CAD
ACCT0000235,CUST000120,PRD005,active,2021-09-17,33299.3,CAD
ACCT0000236,CUST000121,PRD001,active,2026-03-08,14423.99,CAD
ACCT0000237,CUST000121,PRD004,active,2024-06-30,18814.28,CAD
ACCT0000238,CUST000121,PRD007,active,2026-02-24,8830.68,CAD
ACCT0000239,CUST000121,PRD006,active,2025-03-15,1772.33,CAD
ACCT0000240,CUST000122,PRD004,dormant,2022-08-03,17155.42,CAD
ACCT0000241,CUST000122,PRD006,active,2023-05-20,3406.51,CAD
ACCT0000242,CUST000123,PRD005,active,2025-12-26,5065.79,CAD
ACCT0000243,CUST000123,PRD002,active,2025-08-06,12812.34,CAD
ACCT0000244,CUST000124,PRD006,active,2022-12-03,17321.94,CAD
ACCT0000245,CUST000125,PRD005,active,2026-04-23,8503.71,CAD
ACCT0000246,CUST000125,PRD003,dormant,2026-02-09,2318.73,CAD
ACCT0000247,CUST000126,PRD005,active,2023-10-31,563.18,CAD
ACCT0000248,CUST000126,PRD002,active,2021-09-15,-1666.62,CAD
ACCT0000249,CUST000126,PRD003,active,2021-10-21,28568.18,CAD
ACCT0000250,CUST000127,PRD003,active,2021-11-28,11562.27,CAD
ACCT0000251,CUST000128,PRD003,active,2024-01-01,9261.05,CAD
ACCT0000252,CUST000129,PRD005,active,2022-08-02,17973.27,CAD
ACCT0000253,CUST000129,PRD006,closed,2025-09-17,33026.95,CAD
ACCT0000254,CUST000129,PRD002,active,2023-02-28,19405.82,CAD
ACCT0000255,CUST000130,PRD004,active,2025-03-12,12492.12,CAD
ACCT0000256,CUST000131,PRD005,active,2026-01-13,447.07,CAD
ACCT0000257,CUST000131,PRD001,active,2025-08-06,22336.39,CAD
ACCT0000258,CUST000132,PRD006,active,2023-04-15,2345.87,CAD
ACCT0000259,CUST000133,PRD001,active,2026-02-28,12047.74,CAD
ACCT0000260,CUST000134,PRD004,active,2022-12-15,16182.93,CAD
ACCT0000261,CUST000134,PRD002,active,2025-07-03,-5086.63,CAD
ACCT0000262,CUST000134,PRD007,active,2023-08-29,5755.93,CAD
ACCT0000263,CUST000135,PRD005,active,2025-11-21,34015.84,CAD
ACCT0000264,CUST000136,PRD001,active,2024-01-21,-6304.85,CAD
ACCT0000265,CUST000136,PRD006,active,2021-12-12,3342.9,CAD
ACCT0000266,CUST000137,PRD003,active,2025-08-02,9097.29,CAD
ACCT0000267,CUST000137,PRD007,active,2023-06-16,26905.14,CAD
ACCT0000268,CUST000138,PRD007,active,2022-12-19,11376.77,CAD
ACCT0000269,CUST000139,PRD006,active,2023-08-03,999.44,CAD
ACCT0000270,CUST000139,PRD001,active,2025-11-23,8134.26,CAD
ACCT0000271,CUST000140,PRD006,active,2024-01-16,24515.92,CAD
ACCT0000272,CUST000140,PRD005,active,2025-01-25,11448.28,CAD
ACCT0000273,CUST000140,PRD002,closed,2023-06-02,21039.55,CAD
ACCT0000274,CUST000141,PRD007,closed,2022-02-14,6627.91,CAD
ACCT0000275,CUST000141,PRD001,active,2023-07-18,-5768.86,CAD
ACCT0000276,CUST000142,PRD005,active,2025-03-22,12276.29,CAD
ACCT0000277,CUST000142,PRD004,active,2025-04-21,8988.25,CAD
ACCT0000278,CUST000142,PRD002,active,2025-07-21,-1002.71,CAD
ACCT0000279,CUST000143,PRD005,active,2023-08-08,7372.53,CAD
ACCT0000280,CUST000143,PRD007,dormant,2022-08-19,1683.58,CAD
ACCT0000281,CUST000143,PRD001,active,2026-02-01,7918.97,CAD
ACCT0000282,CUST000143,PRD003,active,2024-10-16,14776.63,CAD
ACCT0000283,CUST000144,PRD006,dormant,2021-11-16,26325.21,CAD
ACCT0000284,CUST000145,PRD001,active,2022-03-28,-8972.69,CAD
ACCT0000285,CUST000145,PRD003,active,2023-05-18,33162.92,CAD
ACCT0000286,CUST000146,PRD007,active,2023-07-03,17901.1,CAD
ACCT0000287,CUST000146,PRD005,active,2025-01-26,4602.69,CAD
ACCT0000288,CUST000146,PRD006,active,2023-01-25,13853.97,CAD
ACCT0000289,CUST000147,PRD002,dormant,2022-08-05,10012.4,CAD
ACCT0000290,CUST000147,PRD006,active,2025-02-05,1283.74,CAD
ACCT0000291,CUST000148,PRD004,active,2025-01-22,3898.47,CAD
ACCT0000292,CUST000149,PRD003,active,2025-02-25,337.49,CAD
ACCT0000293,CUST000149,PRD002,active,2023-02-09,-867.06,CAD
ACCT0000294,CUST000149,PRD006,active,2023-12-12,17120.03,CAD
ACCT0000295,CUST000150,PRD004,active,2025-05-23,10962.69,CAD
ACCT0000296,CUST000150,PRD002,active,2025-08-16,-2161.37,CAD
ACCT0000297,CUST000150,PRD003,active,2025-04-20,17745.0,CAD
ACCT0000298,CUST000151,PRD001,active,2024-07-04,10341.24,CAD
ACCT0000299,CUST000151,PRD006,active,2022-07-05,16660.78,CAD
ACCT0000300,CUST000151,PRD002,active,2024-10-25,14370.36,CAD
ACCT0000301,CUST000151,PRD005,active,2021-08-12,3862.44,CAD
ACCT0000302,CUST000152,PRD003,active,2024-06-18,502.26,CAD
ACCT0000303,CUST000152,PRD005,active,2024-09-25,15841.17,CAD
ACCT0000304,CUST000153,PRD001,dormant,2022-12-17,14129.63,CAD
ACCT0000305,CUST000153,PRD003,closed,2023-02-24,6238.73,CAD
ACCT0000306,CUST000153,PRD002,active,2021-08-05,7966.59,CAD
ACCT0000307,CUST000154,PRD007,dormant,2023-08-25,22470.81,CAD
ACCT0000308,CUST000154,PRD004,active,2025-03-05,894.64,CAD
ACCT0000309,CUST000155,PRD001,active,2026-04-23,13338.72,CAD
ACCT0000310,CUST000155,PRD005,dormant,2022-04-06,3972.59,CAD
ACCT0000311,CUST000155,PRD002,active,2024-12-31,3778.98,CAD
ACCT0000312,CUST000156,PRD005,closed,2023-01-27,20234.71,CAD
ACCT0000313,CUST000156,PRD004,dormant,2023-03-05,16817.7,CAD
ACCT0000314,CUST000157,PRD001,closed,2026-03-01,16668.87,CAD
ACCT0000315,CUST000157,PRD006,active,2022-04-11,22818.49,CAD
ACCT0000316,CUST000158,PRD007,active,2024-03-06,6762.55,CAD
ACCT0000317,CUST000159,PRD001,active,2025-11-03,15024.41,CAD
ACCT0000318,CUST000159,PRD006,active,2025-01-15,2621.67,CAD
ACCT0000319,CUST000159,PRD003,active,2022-03-02,10552.08,CAD
ACCT0000320,CUST000160,PRD007,active,2025-03-02,4873.21,CAD
ACCT0000321,CUST000160,PRD002,active,2024-09-24,7712.45,CAD
ACCT0000322,CUST000161,PRD002,active,2023-09-13,13939.46,CAD
ACCT0000323,CUST000161,PRD004,active,2025-06-25,3727.76,CAD
ACCT0000324,CUST000161,PRD001,active,2021-07-30,32654.84,CAD
ACCT0000325,CUST000161,PRD006,active,2023-02-12,6075.22,CAD
ACCT0000326,CUST000162,PRD003,dormant,2025-08-12,8677.36,CAD
ACCT0000327,CUST000162,PRD005,active,2024-02-12,20976.39,CAD
ACCT0000328,CUST000163,PRD005,active,2023-10-15,16395.78,CAD
ACCT0000329,CUST000163,PRD006,dormant,2026-05-20,14301.5,CAD
ACCT0000330,CUST000163,PRD002,active,2025-12-29,14354.32,CAD
ACCT0000331,CUST000164,PRD007,active,2026-03-17,6346.92,CAD
ACCT0000332,CUST000164,PRD004,active,2022-03-03,4715.68,CAD
ACCT0000333,CUST000165,PRD003,active,2023-03-01,7447.56,CAD
ACCT0000334,CUST000165,PRD005,active,2021-12-21,1964.52,CAD
ACCT0000335,CUST000165,PRD006,dormant,2022-11-29,18689.0,CAD
ACCT0000336,CUST000165,PRD002,dormant,2022-04-07,4661.78,CAD
ACCT0000337,CUST000166,PRD006,active,2022-08-10,3818.71,CAD
ACCT0000338,CUST000166,PRD005,active,2026-02-06,2482.68,CAD
ACCT0000339,CUST000167,PRD004,active,2026-02-28,11661.64,CAD
ACCT0000340,CUST000167,PRD003,active,2025-05-29,546.56,CAD
ACCT0000341,CUST000168,PRD007,active,2022-05-31,3777.75,CAD
ACCT0000342,CUST000168,PRD006,closed,2025-08-12,9546.09,CAD
ACCT0000343,CUST000169,PRD002,active,2022-10-01,9562.08,CAD
ACCT0000344,CUST000170,PRD003,closed,2021-07-03,163.21,CAD
ACCT0000345,CUST000170,PRD004,active,2025-03-19,612.02,CAD
ACCT0000346,CUST000170,PRD007,active,2022-02-14,9400.62,CAD
ACCT0000347,CUST000170,PRD001,dormant,2024-05-30,-11601.05,CAD
ACCT0000348,CUST000171,PRD005,active,2024-11-01,11093.3,CAD
ACCT0000349,CUST000171,PRD004,active,2024-04-19,2480.55,CAD
ACCT0000350,CUST000172,PRD004,active,2021-09-27,3831.91,CAD
ACCT0000351,CUST000172,PRD001,active,2022-05-30,10386.34,CAD
ACCT0000352,CUST000173,PRD007,active,2024-10-01,24941.95,CAD
ACCT0000353,CUST000173,PRD005,active,2024-04-29,17220.75,CAD
ACCT0000354,CUST000173,PRD006,active,2022-07-03,4500.77,CAD
ACCT0000355,CUST000174,PRD003,dormant,2025-05-02,6262.3,CAD
ACCT0000356,CUST000174,PRD004,active,2023-10-28,6031.62,CAD
ACCT0000357,CUST000174,PRD007,dormant,2024-03-13,6268.59,CAD
ACCT0000358,CUST000174,PRD006,closed,2024-10-09,2891.77,CAD
ACCT0000359,CUST000175,PRD002,active,2024-11-03,10533.98,CAD
ACCT0000360,CUST000176,PRD003,active,2021-06-26,3840.39,CAD
ACCT0000361,CUST000177,PRD005,active,2024-09-29,12991.83,CAD
ACCT0000362,CUST000177,PRD004,active,2022-07-25,25659.24,CAD
ACCT0000363,CUST000177,PRD002,active,2025-08-25,5140.5,CAD
ACCT0000364,CUST000177,PRD001,active,2024-01-13,11521.4,CAD
ACCT0000365,CUST000178,PRD003,active,2025-04-30,15126.8,CAD
ACCT0000366,CUST000178,PRD001,active,2021-07-02,1484.74,CAD
ACCT0000367,CUST000179,PRD006,active,2022-10-10,9301.16,CAD
ACCT0000368,CUST000179,PRD003,active,2023-02-22,6657.41,CAD
ACCT0000369,CUST000179,PRD005,active,2022-10-07,7720.95,CAD
ACCT0000370,CUST000180,PRD001,active,2022-06-25,-3162.62,CAD
ACCT0000371,CUST000180,PRD007,active,2023-04-25,6806.38,CAD
ACCT0000372,CUST000181,PRD001,active,2021-12-18,12724.98,CAD
ACCT0000373,CUST000182,PRD005,active,2023-09-04,24639.3,CAD
ACCT0000374,CUST000182,PRD004,active,2024-10-09,18490.89,CAD
